,Unnamed: 0,journalname,pmid,text,response
3736,56571,The lancet. Gastroenterology & hepatology,30473202,efficacy individual group hypnotherapy irritable bowel syndrome imagine multicentre randomised multicentre randomised imagine hospitals netherlands ibs referred secondary care randomly allocated blocks six computerbased random table procedure staff involved receive six sessions individual group hypnotherapy group educational supportive therapy group adequate relief ibs symptoms responders defined adequate relief asked weekly occasions consecutive hypnotherapy groups intentiontotreat population excluding individuals subsequently ineligible enrolment noninferiority group hypnotherapy individual hypnotherapy perprotocol population noninferiority margin registered isrctn isrctn completed hypnotherapy irritable bowel syndrome ibs primarily refractory symptoms specialised departments delivered individual basis aimed test hypothesis hypnotherapy would educational supportive therapy group hypnotherapy would noninferior individual hypnotherapy ibs referred secondary care none hypnotherapy considered possible ibs secondary care furthermore group therapy could allow many cost april referred psychological ibs eligibility randomly allocated groups individual hypnotherapy group hypnotherapy educational supportive therapy exclusion individuals subsequently ineligible enrolment individual hypnotherapy group group hypnotherapy group group intentiontotreat population individual hypnotherapy group group hypnotherapy group group dropped therapy intentiontotreat adequate individual hypnotherapy group group hypnotherapy group group individual hypnotherapy group group hypnotherapy group group adequate relief hypnotherapy odds perprotocol individual hypnotherapy group group hypnotherapy group adequate relief individual group hypnotherapy adequate relief group hypnotherapy therefore noninferior individual hypnotherapy eight unexpected serious reactions six individual hypnotherapy group group hypnotherapy group inflammatory bowel judged medical ethics committee therapy equivalence topic hypnosis intention treat irritable bowel syndrome education topic psychotherapy group,1
3744,56869,Palliative & supportive care,30415646,efficacy written prayer technique anxiety mothers children investigate written prayer technique anxiety mothers children recruited mothers children admitted medical centre tehran convenience sampling method randomly assigned participants groups intervention collected anxiety scale demographic questionnaire maternal anxiety measured intervention immediately threeday intervention five intervention writing technique intervention groups consecutive intervention group participants wrote sincere desires wishes demanded god worry stress group spent writing normal daily schedules example feeding children changing clothes consecutive intervention asked groups worry grammar spelling errors finally analyzed descriptive analytical statistical methodsresulta statistically groups intervention relative anxiety intervention lt five intervention group continued exhibit reduced anxiety group intervention lt significance resultsthe written prayer technique appears efficient costeffective practical method reducing anxiety mothers children children intervention anxiety scale written prayer technique anxiety iran mothers psychometrics religion spiritual therapies statistics nonparametric surveys questionnaires,1
3928,57418,Breast cancer research and treatment,14503805,psychoeducational intervention satisfaction information exploratory examine whether increasing satisfaction information provided psychoeducational interventions reducing psychological distress available obtained intervention satisfaction information methods coping mood disturbance scores suggest offering appropriate medical psychological information psychoeducational interventions might increase satisfaction information resulting psychological distress subjects consecutively selected outpatients surgically national center hospital east japan week psychoeducational intervention satisfaction information visual analogue scale hierarchical regression investigate relationship psychological distress satisfaction information provided components psychoeducational interventions reducing psychological distress known information services education topic satisfaction stress psychological,1
3967,57535,Journal of consulting and clinical psychology,14622079,project genesis assessing efficacy problemsolving therapy distressed efficacy problemsolving therapy pst reduce psychological distress sample second condition provided pst posttreatment participants receiving pst fared better waiting list improvements problem solving correlate improvements psychological distress life differences symptom reduction identified month followup pst along psychological distress members pstalone condition approximately half measures maintained posttreatment adaptation psychological caregivers cognitive behavioral therapy followup personality assessment problem solving sick role social support stress psychological,1
3968,57542,Journal of consulting and clinical psychology,17154743,stress management improves life psychosocial interventions life remains uncertain furthermore unclear components multimodal interventions account address issues authors tested week group cognitivebehavioral stress management intervention newly nonmetastatic following recruitment intervention reduced reports social disruption emotional wellbeing states mind benefit finding lifestyle change affect indeed strengthened respect mechanisms tested intervention able relax intervention various examined mediated change able relax thus intervention beneficial diverse aspects life appear linked stress management skill taught intervention adaptation psychological cognitive behavioral therapy combined modality therapy followup psychotherapy group life relaxation therapy sick role stress psychological,1
3972,57578,"Health psychology : official journal of the Division of Health Psychology, American Psychological Association",17500622,longterm appearancebased interventions sun protection behaviors examine longer term efficacies exposure uv photographs photoaging information eg wrinkles spots increasing sun protection intentions behaviors young adults month month followups selfreported sun protection intentions immediately interventions selfreported sun protection behaviors objective assessment via spectrophotometry skin color change measured end summer following interventions following interventions interventions resulted immediate future sun protection intentions interventions objective less skin darkening postsummer followup photoaging information condition reporting sun protective behavior continuing show less skin darkening intervention photoaging information subsequent skin color change mediated earlier photoaging information intentions sun protect subsequent sun protection behaviors uv photo photoaginginformation interventions show promise brief relatively inexpensive approach motivating sun protection practices reduce skin risk adolescent risk reduction behavior skin aging skin spectrophotometry sunburn sunscreening sunscreening,1
3990,57939,British journal of cancer,3524645,magnesium supplementation testicular receiving cisplatin randomised concentration magnesium serum shown fall potentially dangerously several courses cisdiamminedichloroplatinum cisplatin aims examine magnesium supplementation predicted sixteen testicular studied detail month period ovarian dysgerminoma eight randomised receive magnesium supplements intravenous oral nine nonsupplemented group greater renal tubular damage urine nacetylbdglucosaminidase nag trend towards reduction delays due neutropenic episodes supplemented group serum magnesium concentrations remained neither group differences tumour growth show magnesium supplements considerable benefit show harmful receiving cisplatin suggested magnesium supplements routine part regime comprise iv supplements oral supplements courses acetylglucosaminidase adolescent cisplatin topic dysgerminoma kidney diseases magnesium magnesium deficiency ovarian testicular acetylglucosaminidase magnesium cisplatin,1
4225,60914,British journal of cancer,12454764,plasma neutrophil fatty acid composition fish oil supplementation metabolic demand altered supply essential nutrients poorly characterised possible imbalance deficiency essential fatty acids suggested beneficial fish oil supplementation assess fatty acid composition plasma neutrophil phospholipids supplementation fish eicosapentaenoic acid docosahexaenoic acid olive oil drawn experiencing weight loss body weight fatty acid composition plasma phospholipids major phospholipid classes isolated neutrophils determined gas liquid chromatography exhibited normal values plasma phospholipids constituent fatty acids elevated content neutrophil phospholipids high nn fatty acid ratios neutrophil plasma phospholipids inversely body mass index fish oil supplementation raised eicosapentaenoic acid docosahexaenoic acid content plasma neutrophil phospholipids content reduced neutrophil pi following supplementation fish oil change body weight supplementation period directly increases eicosapentaenoic acid plasma alterations lipid metabolism potentially due nutritional andor chemotherapy potential obstacles fatty acid utilisation must addressed future aiming improve nutritional intervention fish oils animals basal metabolism body mass index body weight chromatography gas docosahexaenoic acids eicosapentaenoic acid fatty acids omega neutrophils olive oil phospholipids plant oils fatty acids omega olive oil phospholipids plant oils docosahexaenoic acids eicosapentaenoic acid,1
4407,61357,British journal of cancer,16832415,genetic nurse counsellors acceptable costeffective alternative geneticists risk genetic counselling parallel randomised equivalence genetic nurse counsellors services genetic risk counselling services regional genetics centres grampian region north east scotland cardiff wales referred genetic counselling randomised initial genetic counselling appointment either genetic nurse counsellor intervention geneticist current service participants completed postal questionnaires immediately counselling episode later assess anxiety general health perceived risk satisfaction parallel economic evaluation explored influencing costeffectiveness concurrent randomised equivalence analysed separately grampian intervention wales intervention returned questionnaire attended appointment suggested least likely equivalence anxiety arms cost counselling episode uk pounds less nursebased care grampian uk pounds nursebased care cardiff costs sensitive doctor notionally replaced extent consultant supervision required nurse conclusion care genetic nurse counsellors different conventional genetic services locations adolescent anxiety costbenefit genetic counseling health nurses education topic satisfaction risk,1
4450,61476,British journal of cancer,17895895,lactobacillus supplementation diarrhoea chemotherapy randomised fluorouracil fubased chemotherapy frequently diarrhoea fubased regimens lactobacillus fibre supplementation tolerability diagnosed randomly allocated receive monthly fu leucovorin bolus injections mayo regimen bimonthly fu bolus continuous infusion simplified de gramont regimen adjuvant therapy basis random allocation participants receive lactobacillus rhamnosus gg supplementation x fibre guar gum chemotherapy lactobacillus less diarrhoea less abdominal discomfort needed less hospital care fewer chemotherapy reductions due bowel lactobacillusrelated detected guar gum supplementation influence chemotherapy tolerability simplified de gramont regimen fewer mayo regimen less diarrhoea conclude lactobacillus gg supplementation tolerated reduce frequency severe diarrhoea abdominal discomfort fubased chemotherapy adenocarcinoma antineoplastic combined chemotherapy diarrhea fluorouracil galactans lactobacillus rhamnosus leucovorin mannans staging plant gums probiotics galactans mannans plant gums guar gum leucovorin fluorouracil,1
4648,62290,Bone marrow transplantation,16565742,individualized exercise program severe fatigue allogeneic hematopoietic stemcell transplant pilot chronic cancerrelated fatigue otherwise asymptomatic postallogeneic hematopoietic stem transplant hsct common debilitating pilot investigated whether psychological abnormalities severe fatigue would respond individually adapted aerobic exercise program participants eight posthsct variety hematopoietic diagnoses underwent week individualized mild aerobic exercise program preceded week introduction testing psychological measures fatigue mood depression exerciserelated physiological power output ventilatory threshold vt changes stroke volume heart lactate concentration ratings perceived exertion fatigue immediately postprogram improvements measures fatigue large size functional assessment therapy fatigue module maintained followup period exercise testing revealed increase power output vt increase stroke volume decrease heart lactate perceived exertion preintervention vt power output depression exercise exercise therapy fatigue hematopoietic stem transplantation pilot projects psychiatric rating scales transplantation homologous,1
4790,63506,Journal of general internal medicine,9734787,increasing cervical screening lowincome cervical screening improved attending nonprimarycare outpatient clinics lay health advisers nurse practitioner perform screening strongest greatest need screening attending appointments several nonprimarycare outpatient clinics screening followup intervention determined followup mammography intervention group usual care group pap smear intervention group usual care group due screening mammography intervention group usual care group pap smear intervention group usual care group intervention across insurance payer strata particularly native american lay health advisers cervical screening offered intervention group due screening appointment nurse practitioner determine would cervical screening lay health advisers recommended screening offered convenient screening opportunity urban county teaching hospital chisquare distribution community health nursing community health workers ethnic groups health services accessibility hospitals teaching logistic models mammography mass screening odds papanicolaou test compliance poverty surveys questionnaires urban population uterine cervical vaginal smears,1
4897,64131,"Breast (Edinburgh, Scotland)",14731584,physiotherapy late symptoms following surgical subjected surgical develop late sequelae area operation chest wall andor ipsilateral shoulder immediate surgical discomfort passed many seek accord physiotherapists considered relevant different physiotherapy regimes wished determine whether possible relationship occurrence late sequelae physical findings carried means simple examination physiotherapeutic methods examination fiftynine postoperatively different physiotherapy regimens examined physician answered questionnaire times within course investigation questionnaire covered six main late sequelae degree discomfort investigation shows many experience late symptoms surgical possible demonstrate reduction strength ipsilateral extremity reduced movement muscle tone physiotherapy improve strength movement muscle tone operated extremity reduce presence severity late symptoms,1
5015,65213,The New England journal of medicine,384241,failure highdose vitamin ascorbic acid therapy benefit hundred fifty participated doubleblind highdose vitamin symptoms divided randomly group vitamin comparably flavored lactose sixty evaluable vitamin groups similar sex site performance score previous chemotherapy groups appreciable changes symptoms performance appetite weight seven curves essentially overlapped selected group unable show therapeutic benefit highdose vitamin ascorbic acid topic doubleblind method placebos placebos ascorbic acid,1
5021,65240,The New England journal of medicine,6128673,behavioral anticipatory nausea vomiting induced chemotherapy nausea vomiting experienced anticipation chemotherapy probably learned determine whether behavioral approaches altering learned responses might useful treatments symptoms desensitization behavioral relaxation learned situations anticipatory nausea vomiting counseling sixty ambulatory anticipatory nausea vomiting third fourth chemotherapy treatments equally groups receiving desensitization anticipatory nausea fifth sixth chemotherapy treatments given counseling less less desensitized less severe anticipatory nausea less vomiting less shorter duration anticipatory nausea less conclude desensitization appears antiemetic receive chemotherapy useful management problems antineoplastic behavior therapy topic counseling desensitization psychologic nausea random allocation relaxation therapy vomiting antineoplastic,1
5059,65381,The New England journal of medicine,8145782,lowfat diet actinic keratosis base line sd percentage caloric intake fat percent group percent dietaryintervention group dietary therapy percentage calories fat decreased percent dietaryintervention group remained throughout month period percentage calories fat group fall percent cumulative new actinic keratoses group dietaryintervention group history nonmelanoma skin lowfat diet reduces actinic keratosis actinic keratoses premalignant lesions sensitive important manifestation suninduced skin damage animals shown dietary fat influences suninduced skin diet actinic keratosis known randomly assigned nonmelanoma skin either continue usual diet group eat diet percent caloric intake fat dietaryintervention group examined presence new actinic keratoses physicians unaware assigned diets basal squamous intervals dietary fats followup keratosis logistic models odds precancerous conditions risk skin sunlight dietary fats,1
5226,66510,Acta oto-laryngologica,16076712,compliance life quantitative voice aspects handsfree speech multicentre laryngectomized regular asv users previously unsuccessful users new users collected means european organization research life questionnaires structured questionnaires concerning compliance skin adhesion voicing pulmonary aspects objective assessment voice parameters maximum phonation maximum phonation counting dynamic loudness pauses readaloud text made comparison different stoma occlusion methods digital occlusion via hme different asvs subjective assessment voice made new asv daily basis hday irregular basis additional rehabilitation tool special occasions twothirds group indicated would continue new asv period respect objective parameters statistically better maximum phonation times dynamic loudness ranges new asv blomsinger asv best objective parameters obtained digital occlusion via provox hme make longterm assessment compliance aspects voice breathing life new asv provox freehands heat moisture exchanger hme new automatic stoma valve asv appears possible rehabilitate previously unsuccessful acquiring handsfree speech making daily asv possible additional group new device appreciated many additional rehabilitation tool occasions despite statistically improvements aspects voice breathing novel asv improvement peristomal adhesion probably main needed increase success nevertheless show makes sense keep trying achieve handsfree speech even previous attempts failed followup laryngectomy larynx artificial longitudinal compliance phonation prosthesis design prosthesis fitting life respiration speech alaryngeal speech esophageal voice voice,1
5243,66675,Nutrition and cancer,18444132,optimal methioninefree diet duration nitrourea animal models methionine met restriction chloroethylnitrosoureas led substantial improvement basis initiated dietary met restriction chloroethylnitrosourea cystemustine recurrent glioma melanoma purpose determine optimal metfree diet duration maximum depletion plasma met feasibility wk metfree diet consecutive cystemustine mgm cycle plasma met concentrations nutritional weight albumin prealbumin measured conversely fedstate concentrations plasma met reduced dietary met restriction optimal depletion st metfree diet extending metfree diet period indeed demonstrated feasibility good diet acceptability good tolerance nutritional metfree diet cystemustine initiated test activity metfree diet cystemustine antineoplastic brain combined modality therapy glioma melanoma methionine metastasis nitrosourea compounds nutritional oligodendroglioma compliance antineoplastic nitrosourea compounds methionine,1
5244,66678,Nutrition and cancer,18444145,combination tomato soy products men recurring rising antigen tomato soy products hypothesized reduce risk enhance efficacy therapy completed determine men active adhere dietary intervention rich tomato products soy protein supplement men recurrent asymptomatic groups group consumed tomato products soy targeting minimum lycopeneday group consumed soy tomatoes providing soy proteinday men consumed combined tomatorich diet soy supplements iv toxicities daily lycopene intake group soy intake group remaining similar serum lycopene micromoll micromoll urinary isoflavone excretion detectable micromoll wk diet intervention serum prostatespecific antigen decreased men serum vascular endothelial growth entire group reduced wk conclusion consume diets rich tomato products soy excellent compliance bioavailability phytochemicals combining tomato soy foods determine efficacy prevention management encouraged administration oral antineoplastic biological availability biomarkers carotenoids crossover dietary supplements drug therapy combination lycopene lycopersicon esculentum compliance prostatespecific antigen prostatic soybean proteins soybeans antineoplastic biomarkers soybean proteins carotenoids prostatespecific antigen lycopene,1
5254,66865,Nutrition and cancer,9121942,general guidelines lowfat diet management prevention nonmelanoma skin dietary intervention shown reduction occurrence actinic keratosis nonmelanoma skin skin adopt diets percentage calories fat markedly lowered purpose examine dietary parameters lowfat diet reducing occurrence skin skin taught fat reduction strategies complement individual food preferences lifestyles diet composition calculated dietary assessment nutrient techniques dietary intervention reducing percentage calories fat month maintaining remainder twoyear practical dietary advice respect reduction percentage calories fat along increase intake grains fruits vegetables could make important contribution management prevention skin cholesterol dietary dietary fats edible grain energy intake fruit skin vegetables cholesterol dietary dietary fats,1
5255,66866,Nutrition and cancer,9290119,immunomodulatory betacarotene lymphocyte subsets resected colonic polyps suggest betacarotenecontaining foods prevent initiation various cancers possible mechanism could enhancement immune aim determine whether betacarotene modulates lymphocyte subsets affected colonic polyps cancerous lesions previous adenomatous colonic polyps colon cancers receive betacarotene mgday percentages lymphocyte subsets determined flow cytometry samples collected randomization lymphocyte subsets normal subjects determined comparison initially leukocyte counts percentage lymphocytes various subsets lymphocytes groups although percentage interleukin receptorpositive ilr polyps controls supplementation betacarotene increase ilr lymphocytes lymphocytes seen percentages remained unchanged adenomatous polyps receiving betacarotene concluded betacarotene ilr lymphocytes lymphocytes turn produce already deficiency immune system increase activated lymphocytes mediate cytotoxic reactions via cytokine production antioxidants cohort colonic colonic polyps flow cytometry reference values tlymphocyte subsets tretinoin vitamin vitamin e beta carotene antioxidants beta carotene vitamin vitamin e tretinoin,1
5256,66867,Nutrition and cancer,9343838,feasibility highvegetable diet prevent epidemiologic supports concept diet influences risk suggests diagnosis modifiable nutritional purpose investigate feasibility highvegetable reducedfat increasedfiber diet intervention reduce risk survivors major change dietary pattern promoted intensive telephone counseling participants diagnosed stages iiia within previous completed initial adherence diet repeated hour dietary recalls measurement circulating carotenoid concentrations six randomization intervention group intake vegetables servingsday fruit servingsday fiber reduced intake dietary fat energy group circulating concentrations carotenoids intervention group changes persisted month visit demonstrate telephone counseling useful approach diet intervention survivors adopt maintain highvegetable reducedfat dietary pattern biomarkers carotenoids diet dietary fats dietary fiber feasibility fruit compliance topic vegetables biomarkers dietary fats dietary fiber carotenoids,1
5257,66868,Nutrition and cancer,9507512,plasma concentrations micronutrients ninemonth betacarotene precursor cervical lesions oral supplementation betacarotene plasma carotenoids tocopherols retinol studied sequentially participating ninemonth examine efficacy betacarotene induce regression cervical intraepithelial neoplasia visit mo samples collected six micronutrients determined highperformance liquid chromatography limitations changes introduced dietary habits cervicovaginal lavage samples obtained visit assayed presence papillomavirus dna southern blot hybridization polymerase chain reaction supplemented group plasma betacarotene remained markedly elevated longitudinal group variations individual plasma betacarotene alphacarotene lycopene retinol gammatocopherol alphatocopherol suggesting absence seasonal dietary changes group cigarette smoking steroid contraceptive plasma betacarotene contrast betacarotenesupplemented group steroid contraceptive influence plasma betacarotene additional noteworthy finding betacarotene supplementation reverse depletion smokers plasma six micronutrients cervical intraepithelial neoplasia persistent papillomavirus infection supplemented groups functional sequential nutrient interactions essential micronutrients possible longterm need addressed blotting southern carotenoids contraceptives oral hormonal dna viral lycopene papillomaviridae placebos polymerase chain reaction precancerous conditions smoking uterine cervical vitamin vitamin e beta carotene contraceptives oral hormonal dna viral placebos beta carotene vitamin vitamin e carotenoids lycopene,1
5276,66958,Scandinavian journal of primary health care,12877375,general practitioner assessment structured oncological information accompanying newly referred gps catchment area regional oncology department gps gp assessment information material questionnaires returned structured information pack improved gp knowledge oncology gps better equipped support counsel course illness practitioner satisfaction department rose intervention though reasonably simple inexpensive particularly timeconsuming improved cooperation specialist department gp step right direction need remains new initiatives improve cooperation communication secondary healthcare sectors randomised unblinded investigate general practitioner gp assessment structured oncology information pack sent gps newly referred visited department oncology compare assessment material assessment traditional information provided department catchment area health communication interprofessional relations education topic physicianpatient relations physicians family referral consultation surveys questionnaires,1
5346,67450,Journal of cancer education : the official journal of the American Association for Cancer Education,10730801,black cosmetologists promoting health program pilot suggest approach worthy evaluation health education program delivered via cosmetologists pilot tested supplement programs seeking reach community information designed remedy inequality eight cosmetologists either active passive educational intervention active experimental focused detection african americans suffer disproportionate burden illness premature mortality cosmetologists clients acceptable intervention nearly demonstrated heard mainstream messages value detection considerable proportion appeared realize high morbidity mortality within community african americans attitude health beauty culture casecontrol chisquare distribution colorado health promotion health surveys pilot projects program development program evaluation reference values statistics nonparametric,1
5348,67470,Journal of cancer education : the official journal of the American Association for Cancer Education,18067438,oral prevention detection precedeproceed framework guide training health professional students second students intervention group competent group precedeproceed model design pretest posttest oc prevention detection skills dental students oc knowledge opinions competencies teaching prevention detection important health professional education desirable select comprehensive framework teaching oral oc prevention detection skills novel precedeproceed sets precedent designing standardized oc curriculum wide health professional disciplines competence curriculum education dental educational measurement health knowledge attitudes practice health personnel models educational mouth problembased learning students dental,1
5349,67490,Journal of cancer education : the official journal of the American Association for Cancer Education,8989634,increasing mammography selfexamination african american witness project model intervention research eastern arkansas african american demonstrated increase practice selfexamination mammography participation witness project pre postintervention scores scaled items healthbelief model locus witness project theorybased intervention designed provide culturally sensitive messages african american survivors churches community organizations messages emphasize importance detection improve fiveyear african american notably white thus appropriate education screening efforts needed increase mammography selfexamination practices african american demonstrate culturally appropriate education programs able change behavior meeting beliefs participants rather attempting change beliefs adolescent african americans arkansas selfexamination culture health knowledge attitudes practice internalexternal mammography matchedpair models psychological education topic poverty rural health social environment,1
5464,68383,Climacteric : the journal of the International Menopause Society,18365859,longterm followup acupuncture hormone therapy hot flushes multicenter fortyfive ea ht distress caused hot flushes registered daily start electroacupuncture ea hormone therapy ht vasomotor symptoms history electroacupuncture possible vasomotor symptoms studied group completed ea hot flushes h decreased interquartile iqr iqr start initial ea flushes h iqr seven ea iqr flushes h another five decreased flushes additional ea ht flushes h iqr iqr variance electroacupuncture estrogen replacement therapy followup hot flashes postmenopause severity illness index,1
5466,68419,Nicotine & tobacco research : official journal of the Society for Research on Nicotine and Tobacco,14668066,increasing readiness stop smoking undergoing cervical screening evaluation leaflets impact informing smokers link smoking cervical smokers general practices united kingdom randomly assigned receive extended leaflet brief leaflet leaflet leaflets informed threat cervical stopping smoking would decrease vulnerability effectiveness smoking cessation services extended leaflet elaborated explanation smoking adversely affects cervix questionnaires completed main readiness stop smoking within next secondary perceptions severity vulnerability cervical beliefs effectiveness reducing susceptibility stopping smoking selfefficacy stopping smoking sent briefer leaflet likely ready stop smoking within next sent extended leaflet sent leaflet smokers sent leaflet sent either leaflets perceived vulnerability cervical greater expectations stopping smoking would reduce risk conclusion providing brief written information link smoking cervical increases readiness stop smoking impact smoking cessation combining information advice health professionals conducting cervical screening needs mass screening compliance education topic risk smoking smoking cessation uterine cervical,1
5544,69101,Journal of women's health (2002),15257846,provider counseling health education community health workers arizona wisewoman project interventions moderatetovigorous physical activity fruit vegetable consumption intervention group provider counseling health education chw support meeting national recommendations fruit vegetable consumption arizona wellintegrated screening evaluation across nation wisewoman project provider counseling health education community health workers chws target chronic risk uninsured primarily hispanic participants recruited tucson clinics participating national cervical detection program nbccedp randomly assigned intervention groups provider counseling provider counseling health education provider counseling health education chw support participants measured height weight waist hip circumference pressure tests check glucose cholesterol triglyceride point participants completed hour dietary recalls questionnaires focusing physical activity participated month followup fourths hispanic intervention groups increase selfreported weekly moderatetovigorous physical activity differences groups comprehensive intervention provider counseling health education chw support progressed eating five fruits vegetables participants provider counseling provider counseling health education arizona cardiovascular diseases counseling followup health education health promotion health indicators hispanic americans medically uninsured poverty prevalence prevention risk reduction behavior health health services,1
5545,69103,"Journal of alternative and complementary medicine (New York, N.Y.)",10471017,therapeutic touch biochemical mood indicators previous research shown therapeutic touch tt reducing anxiety discomfort promoting relaxation present investigation experimentally tt biochemical indicators moods sample healthy volunteers participants randomly assigned either experimental group tt group receive tt pretest posttest urine samples collected personality mood inventories administered across consecutive monthly sessions indicated mood disturbance experimental group decreased course sessions group mood disturbance specifically experimental group participants reductions tension confusion anxiety increase vigor across sessions analyses biochemical indicated tt produced decrease nitric oxide experimental group third tt session present investigation important implications reducing symptom distress undergoing chemotherapy affect catecholamines hydrocortisone nitric oxide nitrites reference values surveys questionnaires therapeutic touch catecholamines nitrites nitric oxide hydrocortisone,1
5546,69174,"Journal of alternative and complementary medicine (New York, N.Y.)",30247950,complementary mistletoe extracts chemotherapy neutropenia fever life monocentric groups national research center serbia undergoing surgery adjuvant chemotherapy six cyclophosphamide adriamycin fluorouracil different european mistletoe extracts helixor iscador spez injected times week chemotherapy mistletoe group fiveyear followup routine visits documented case report forms measuring body temperature chemotherapy probability relapse metastasis followup chemotherapy neutrophil count life according eortc qlqc groups receiving different complementary mistletoe treatments integrated mistletoe group mistletoe group develop fever symptoms group shortterm group differences probability relapse metastasis measured groups mistletoe group trend toward less neutropenia improved appetite loss scores impact eortc qlqc scores mistletoe extracts safe neither subcutaneous injections induce fever influence frequency relapse metastasis within result suggests mistletoe extracts interactions anticancer furthermore certain side chemotherapy decreased complementary complementary european mistletoe extracts chemotherapy followup chemotherapy mistletoe therapy antineoplastic body temperature diseasefree followup neutropenia phytotherapy plant extracts life viscum album antineoplastic plant extracts,1
5672,70292,The American journal of clinical nutrition,8901800,natural killer activity elderly men enhanced betacarotene supplementation natural killer nk activity postulated immunologic link betacarotene prevention crosssectional placebocontrolled doubleblind examined betacarotene supplementation alternate nk activity middleaged men elderly men boston area participants health seen nk activity due betacarotene supplementation middleaged group elderly men nk activity middleaged men ageassociated nk activity men supplemented betacarotene betacarotenesupplemented elderly men greater nk activity elderly men receiving reason unknown due increase percentage nk increase interleukin receptor production betacarotene acting directly lytic stages nk cytotoxicity nk activityenhancing cytokines show longterm betacarotene supplementation enhances nk activity elderly men beneficial viral tumoral surveillance doubleblind method food fortified immunity innate interleukin killer natural receptors interleukin beta carotene interleukin receptors interleukin beta carotene,1
5673,70294,The American journal of clinical nutrition,9022536,supplementation vitamin e ascorbic acid coenzyme q oxidative dna damage estimated excretion smokers protective fruit vegetables high antioxidant content intervention conclusive protective antioxidant supplementation placebocontrolled investigated dietary supplementation antioxidants biomarker oxidative dna damage mechanistic relation carcinogenesis hundred fortytwo smoking men randomly assigned following seven treatments mo dalphatocopheryl acetate slowrelease ascorbic acid twice dalphatocopheryl acetate twice ascorbic acid twice slowrelease ascorbic acid twice coenzyme q oil times coenzyme q granulate times twice urinary excretion oxo oxodga repair product oxidative dna damage supplementation result changes urinary excretion oxodg group lack antioxidant supplementation excretion oxodg despite substantial increases plasma antioxidant concentrations agrees recent large intervention endpoint cancerprotective fruit vegetables seems rely antioxidants rather anticarcinogenic compounds concerted action several micronutrients present foods ascorbic acid coenzymes dna damage deoxyguanosine smoking ubiquinone vitamin e coenzymes ubiquinone vitamin e oxohydrodeoxyguanosine coenzyme q deoxyguanosine ascorbic acid,1
5676,70304,The American journal of clinical nutrition,9701196,modulation fecal markers relevant colon risk highstarch chinese diet generate expected beneficial changes relative westerntype diet crossover dietary intervention australians white descent consumed diet typical lowincome communities china average australian diet fecal markers thought relevant colon risk could chinese diet contained starchmj daily resistant starch rsmj nonstarch polysaccharides nspsmj australian diet contained starchmj daily rs nspsmj subjects followed diet wk serum cholesterol concentrations lowfat highstarch chinese diet australian diet sem mmoll indicative dietary compliance fecal ph chinese diet australian diet fecal markers examined chinese diet produced less favorable changes fecal bulk wet wtd slower transit gut h fecal concentrations shortchain fatty acids mmoll butyrate mmoll fecal concentrations potentially damaging ammonia mgl phenols mgl suggest consumption highstarch diet alone insufficient reduce risk developing colon biomarkers china colonic crossover dietary carbohydrates feces hydrogenion concentration risk starch biomarkers dietary carbohydrates starch,1
5677,70307,The American journal of clinical nutrition,9848512,soyprotein supplementation epithelial proliferation histologically normal high dietary intake soy products eg japan singapore reduction premenopausal phytoestrogens present soybeans inhibit proliferation vitro development animal models exist phytoestrogens histologically normal breasts examines dietary soy supplementation proliferation premenopausal histologically normal epithelium progesterone receptor benign malignant randomly assigned receive normal diet either alone soy supplement containing isoflavones taken daily biopsy samples normal breasts labeled hthymidine detect immunocytochemically stained proliferation antigen ki phytoestrogens genistein daidzein equol enterolactone enterodiol measured serum samples obtained supplementation serum concentrations isoflavones genistein daidzein soy group strong correlation ki thymidine labeling index r proliferation lobular epithelium soy supplementation menstrual cycle accounted progesterone receptor soy group shortterm dietary soy stimulates proliferation required determine whether due estrogen agonist activity examine longterm soy supplementation pituitary gland anticarcinogenic division diet epithelium estrogens nonsteroidal genistein isoflavones plant growth regulators premenopause receptors progesterone soybean proteins thymidine anticarcinogenic estrogens nonsteroidal isoflavones plant growth regulators receptors progesterone soybean proteins daidzein genistein thymidine,1
5678,70308,The American journal of clinical nutrition,10075322,health aspects partially defatted flaxseed serum lipids oxidative measures ex vivo androgen progestin activity crossover currently considerable interest potential health benefits oil seeds soy flaxseed especially relation cardiovascular indicate partially defatted flaxseed lowering ldl cholesterol lipoprotein ratios ex vivo serum androgen progestin activity protein carbonyl content significance oxidation protein thiol groups flaxseed consumption requires investigation partially defatted flaxseed reduced cholesterol ldl cholesterol wk therefore health aspects partially defatted flaxseed relation serum lipids indicators oxidative stress ex vivo sex hormone activities androgens cholesterol crossover dietary fiber flax hyperlipidemias oxidative stress postmenopause progestins seeds androgens dietary fiber progestins cholesterol,1
